"grappe","menage","vague","s13q00","s13q01","s13q02","s13q03","s13q04","s13q05","s13q06","s13q07","s13q08","s13q09"
39,4,1,1,1,1,2,,1,2,2,2,1
39,5,1,1,1,2,2,,2,2,2,2,0
39,6,1,1,2,,2,,2,2,2,2,0
39,7,1,1,2,,2,,2,2,2,2,0
39,8,1,3,1,2,2,,2,2,2,2,0
39,9,1,1,1,1,2,,2,2,2,2,1
39,10,1,13,2,,2,,2,2,2,2,0
39,13,1,4,2,,2,,2,2,2,2,0
39,14,1,1,2,,2,,2,2,2,2,0
40,1,2,1,2,,2,,1,2,2,2,1
40,2,2,22,1,1,2,,1,2,2,2,1
40,3,2,7,2,,2,,2,2,2,2,0
40,4,2,2,2,,2,,2,2,2,2,0
40,5,2,3,2,,2,,2,2,2,2,0
40,7,2,1,2,,2,,2,1,2,2,1
40,8,2,1,2,,2,,2,1,2,2,1
40,9,2,5,2,,2,,2,2,2,2,0
40,10,2,1,1,2,2,,1,2,2,2,1
40,11,2,2,2,,2,,2,2,2,2,0
40,12,2,35,2,,2,,2,2,2,2,0
40,13,2,1,2,,2,,2,2,2,2,0
41,1,1,1,2,,1,2,2,2,2,2,0
41,2,1,1,2,,2,,2,2,2,2,0
41,3,1,3,2,,2,,2,2,2,2,0
41,4,1,2,1,1,2,,1,2,2,2,1
41,5,1,2,2,,2,,2,2,2,2,0
41,8,1,1,2,,2,,2,2,2,2,0
41,9,1,1,2,,2,,2,2,2,2,0
41,10,1,3,2,,2,,2,1,1,2,1
41,11,1,1,2,,2,,2,2,2,2,0
41,12,1,1,2,,2,,2,1,1,2,1
41,13,1,2,2,,2,,2,2,2,2,0
41,14,1,1,2,,2,,2,2,2,2,0
42,2,2,2,1,1,2,,2,2,2,2,1
42,3,2,1,2,,2,,2,2,2,2,0
42,4,2,1,2,,1,1,1,2,2,2,1
42,5,2,1,2,,2,,2,1,2,2,1
42,6,2,7,2,,2,,2,2,2,2,0
42,7,2,1,2,,2,,2,2,2,2,0
42,8,2,2,2,,2,,2,2,2,2,0
42,9,2,1,2,,2,,2,2,2,2,0
42,10,2,1,1,1,2,,2,1,2,2,1
42,11,2,1,2,,2,,2,1,1,2,1
42,12,2,2,2,,2,,2,2,2,2,0
42,13,2,3,1,1,2,,1,2,2,2,1
43,1,1,1,2,,2,,2,2,2,2,0
43,2,1,2,1,2,2,,1,1,2,2,1
43,3,1,16,2,,2,,2,1,2,2,1
43,4,1,2,1,2,1,2,2,2,2,2,0
43,5,1,3,1,1,1,2,1,1,1,1,1
43,6,1,1,2,,1,1,1,2,1,2,1
43,7,1,1,2,,1,2,2,2,2,2,0
43,8,1,1,2,,1,2,2,2,2,2,0
43,9,1,2,2,,2,,2,2,2,2,0
43,10,1,5,2,,2,,2,1,1,1,1
43,11,1,1,2,,2,,2,2,2,2,0
43,12,1,6,1,2,1,2,2,2,2,2,0
44,1,2,2,2,,2,,2,2,2,2,0
44,2,2,1,2,,2,,2,1,2,2,1
44,3,2,1,2,,2,,2,2,2,2,0
44,4,2,2,2,,2,,1,2,2,2,1
44,5,2,2,2,,2,,2,2,2,2,0
44,6,2,3,1,2,2,,2,1,2,2,1
44,7,2,2,2,,2,,2,2,2,2,0
44,8,2,1,2,,2,,2,2,2,2,0
44,9,2,2,2,,2,,2,2,2,2,0
44,11,2,1,2,,2,,2,2,2,2,0
44,12,2,1,2,,2,,2,2,2,2,0
44,13,2,1,1,1,2,,2,1,2,2,1
45,1,1,4,2,,1,2,2,2,2,1,1
45,2,1,1,2,,2,,2,1,2,2,1
45,3,1,1,2,,2,,2,2,1,2,1
45,5,1,14,2,,2,,2,2,2,2,0
45,6,1,2,2,,2,,2,2,2,2,0
45,8,1,4,1,2,1,1,2,2,1,2,1
45,9,1,1,2,,2,,2,2,2,2,0
45,10,1,1,2,,1,2,2,2,2,2,0
45,12,1,2,2,,2,,2,2,2,2,0
45,13,1,3,2,,2,,2,2,2,2,0
45,14,1,1,1,2,1,2,2,2,2,2,0
45,15,1,2,2,,2,,2,2,2,2,0
46,1,2,2,2,,2,,1,2,2,2,1
46,2,2,1,2,,2,,2,2,2,2,0
46,3,2,1,2,,2,,2,2,2,2,0
46,4,2,1,2,,2,,2,2,2,2,0
46,5,2,1,1,2,2,,2,2,2,2,0
46,6,2,1,2,,2,,2,2,2,2,0
46,7,2,1,2,,2,,2,2,2,2,0
46,8,2,1,1,1,2,,2,2,2,2,1
46,9,2,1,2,,2,,2,2,2,2,0
46,10,2,2,1,1,2,,2,2,2,2,1
46,11,2,2,2,,2,,2,1,2,2,1
46,13,2,1,2,,2,,2,2,2,2,0
47,1,1,1,2,,2,,2,2,2,2,0
47,2,1,1,2,,2,,2,2,1,2,1
47,3,1,1,1,2,1,2,2,2,2,2,0
47,4,1,2,1,1,2,,2,2,2,2,1
47,5,1,1,2,,2,,2,1,2,2,1
47,6,1,12,2,,2,,2,2,2,2,0
47,7,1,2,1,2,2,,2,2,2,2,0
47,8,1,14,2,,2,,2,2,2,2,0
47,9,1,2,1,1,2,,2,2,2,2,1
47,12,1,1,2,,2,,2,2,2,2,0
47,13,1,1,2,,1,1,2,2,2,2,1
47,14,1,15,2,,2,,2,2,2,2,0
48,1,2,1,1,2,2,,1,1,2,2,1
48,2,2,1,2,,2,,2,2,2,2,0
48,3,2,1,2,,2,,2,2,2,2,0
48,4,2,1,2,,2,,2,1,1,2,1
48,5,2,2,1,1,2,,2,1,2,2,1
48,6,2,1,2,,2,,2,2,2,2,0
48,8,2,1,2,,2,,1,1,2,2,1
48,10,2,1,1,2,2,,1,2,2,2,1
